Time,CORE_ZN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.494560E+03,0.000000E+00,1.803688E-01,0.000000E+00,8.917259E+03,0.000000E+00,4.600867E-01,0.000000E+00,5.528058E+03,0.000000E+00,2.852170E-01,0.000000E+00,8.700025E+03,0.000000E+00,4.488786E-01,0.000000E+00,5.524881E+03,0.000000E+00,2.850530E-01,0.000000E+00
00:20:00,3.493428E+03,0.000000E+00,1.803104E-01,0.000000E+00,8.916400E+03,0.000000E+00,4.600424E-01,0.000000E+00,5.527547E+03,0.000000E+00,2.851906E-01,0.000000E+00,8.699165E+03,0.000000E+00,4.488342E-01,0.000000E+00,5.524369E+03,0.000000E+00,2.850266E-01,0.000000E+00
00:30:00,3.492300E+03,0.000000E+00,1.802522E-01,0.000000E+00,8.915544E+03,0.000000E+00,4.599982E-01,0.000000E+00,5.527037E+03,0.000000E+00,2.851643E-01,0.000000E+00,8.698309E+03,0.000000E+00,4.487900E-01,0.000000E+00,5.523859E+03,0.000000E+00,2.850003E-01,0.000000E+00
00:40:00,3.491176E+03,0.000000E+00,1.801942E-01,0.000000E+00,8.914690E+03,0.000000E+00,4.599542E-01,0.000000E+00,5.526529E+03,0.000000E+00,2.851380E-01,0.000000E+00,8.697455E+03,0.000000E+00,4.487460E-01,0.000000E+00,5.523351E+03,0.000000E+00,2.849741E-01,0.000000E+00
00:50:00,3.490057E+03,0.000000E+00,1.801365E-01,0.000000E+00,8.913840E+03,0.000000E+00,4.599103E-01,0.000000E+00,5.526022E+03,0.000000E+00,2.851119E-01,0.000000E+00,8.696603E+03,0.000000E+00,4.487020E-01,0.000000E+00,5.522845E+03,0.000000E+00,2.849479E-01,0.000000E+00
01:00:00,3.488943E+03,0.000000E+00,1.800789E-01,0.000000E+00,8.912992E+03,0.000000E+00,4.598666E-01,0.000000E+00,5.525517E+03,0.000000E+00,2.850858E-01,0.000000E+00,8.695755E+03,0.000000E+00,4.486583E-01,0.000000E+00,5.522340E+03,0.000000E+00,2.849219E-01,0.000000E+00
01:10:00,3.489012E+03,0.000000E+00,1.800825E-01,0.000000E+00,8.913066E+03,0.000000E+00,4.598704E-01,0.000000E+00,5.525563E+03,0.000000E+00,2.850882E-01,0.000000E+00,8.695829E+03,0.000000E+00,4.486621E-01,0.000000E+00,5.522385E+03,0.000000E+00,2.849242E-01,0.000000E+00
01:20:00,3.489080E+03,0.000000E+00,1.800860E-01,0.000000E+00,8.913140E+03,0.000000E+00,4.598742E-01,0.000000E+00,5.525608E+03,0.000000E+00,2.850905E-01,0.000000E+00,8.695903E+03,0.000000E+00,4.486659E-01,0.000000E+00,5.522430E+03,0.000000E+00,2.849266E-01,0.000000E+00
01:30:00,3.489149E+03,0.000000E+00,1.800895E-01,0.000000E+00,8.913213E+03,0.000000E+00,4.598780E-01,0.000000E+00,5.525652E+03,0.000000E+00,2.850928E-01,0.000000E+00,8.695976E+03,0.000000E+00,4.486697E-01,0.000000E+00,5.522475E+03,0.000000E+00,2.849289E-01,0.000000E+00
01:40:00,3.489217E+03,0.000000E+00,1.800931E-01,0.000000E+00,8.913285E+03,0.000000E+00,4.598817E-01,0.000000E+00,5.525696E+03,0.000000E+00,2.850951E-01,0.000000E+00,8.696048E+03,0.000000E+00,4.486734E-01,0.000000E+00,5.522519E+03,0.000000E+00,2.849311E-01,0.000000E+00
01:50:00,3.489284E+03,0.000000E+00,1.800966E-01,0.000000E+00,8.913356E+03,0.000000E+00,4.598854E-01,0.000000E+00,5.525740E+03,0.000000E+00,2.850973E-01,0.000000E+00,8.696119E+03,0.000000E+00,4.486771E-01,0.000000E+00,5.522562E+03,0.000000E+00,2.849334E-01,0.000000E+00
02:00:00,3.489352E+03,0.000000E+00,1.801000E-01,0.000000E+00,8.913427E+03,0.000000E+00,4.598890E-01,0.000000E+00,5.525783E+03,0.000000E+00,2.850996E-01,0.000000E+00,8.696190E+03,0.000000E+00,4.486807E-01,0.000000E+00,5.522606E+03,0.000000E+00,2.849356E-01,0.000000E+00
02:10:00,3.489419E+03,0.000000E+00,1.801035E-01,0.000000E+00,8.913497E+03,0.000000E+00,4.598926E-01,0.000000E+00,5.525826E+03,0.000000E+00,2.851018E-01,0.000000E+00,8.696260E+03,0.000000E+00,4.486843E-01,0.000000E+00,5.522648E+03,0.000000E+00,2.849378E-01,0.000000E+00
02:20:00,3.489486E+03,0.000000E+00,1.801070E-01,0.000000E+00,8.913567E+03,0.000000E+00,4.598962E-01,0.000000E+00,5.525868E+03,0.000000E+00,2.851039E-01,0.000000E+00,8.696330E+03,0.000000E+00,4.486879E-01,0.000000E+00,5.522690E+03,0.000000E+00,2.849400E-01,0.000000E+00
02:30:00,3.489553E+03,0.000000E+00,1.801104E-01,0.000000E+00,8.913635E+03,0.000000E+00,4.598997E-01,0.000000E+00,5.525910E+03,0.000000E+00,2.851061E-01,0.000000E+00,8.696398E+03,0.000000E+00,4.486914E-01,0.000000E+00,5.522732E+03,0.000000E+00,2.849422E-01,0.000000E+00
02:40:00,3.489619E+03,0.000000E+00,1.801138E-01,0.000000E+00,8.913703E+03,0.000000E+00,4.599033E-01,0.000000E+00,5.525951E+03,0.000000E+00,2.851082E-01,0.000000E+00,8.696466E+03,0.000000E+00,4.486950E-01,0.000000E+00,5.522774E+03,0.000000E+00,2.849443E-01,0.000000E+00
02:50:00,3.489685E+03,0.000000E+00,1.801172E-01,0.000000E+00,8.913771E+03,0.000000E+00,4.599067E-01,0.000000E+00,5.525992E+03,0.000000E+00,2.851104E-01,0.000000E+00,8.696534E+03,0.000000E+00,4.486984E-01,0.000000E+00,5.522815E+03,0.000000E+00,2.849464E-01,0.000000E+00
03:00:00,3.489751E+03,0.000000E+00,1.801206E-01,0.000000E+00,8.913837E+03,0.000000E+00,4.599102E-01,0.000000E+00,5.526033E+03,0.000000E+00,2.851125E-01,0.000000E+00,8.696600E+03,0.000000E+00,4.487019E-01,0.000000E+00,5.522855E+03,0.000000E+00,2.849485E-01,0.000000E+00
03:10:00,3.489816E+03,0.000000E+00,1.801240E-01,0.000000E+00,8.913903E+03,0.000000E+00,4.599136E-01,0.000000E+00,5.526073E+03,0.000000E+00,2.851145E-01,0.000000E+00,8.696667E+03,0.000000E+00,4.487053E-01,0.000000E+00,5.522896E+03,0.000000E+00,2.849506E-01,0.000000E+00
03:20:00,3.489882E+03,0.000000E+00,1.801274E-01,0.000000E+00,8.913969E+03,0.000000E+00,4.599170E-01,0.000000E+00,5.526113E+03,0.000000E+00,2.851166E-01,0.000000E+00,8.696732E+03,0.000000E+00,4.487087E-01,0.000000E+00,5.522936E+03,0.000000E+00,2.849526E-01,0.000000E+00
03:30:00,3.489947E+03,0.000000E+00,1.801307E-01,0.000000E+00,8.914034E+03,0.000000E+00,4.599203E-01,0.000000E+00,5.526153E+03,0.000000E+00,2.851186E-01,0.000000E+00,8.696797E+03,0.000000E+00,4.487120E-01,0.000000E+00,5.522975E+03,0.000000E+00,2.849547E-01,0.000000E+00
03:40:00,3.490011E+03,0.000000E+00,1.801341E-01,0.000000E+00,8.914098E+03,0.000000E+00,4.599236E-01,0.000000E+00,5.526192E+03,0.000000E+00,2.851206E-01,0.000000E+00,8.696862E+03,0.000000E+00,4.487153E-01,0.000000E+00,5.523014E+03,0.000000E+00,2.849567E-01,0.000000E+00
03:50:00,3.490076E+03,0.000000E+00,1.801374E-01,0.000000E+00,8.914162E+03,0.000000E+00,4.599269E-01,0.000000E+00,5.526231E+03,0.000000E+00,2.851226E-01,0.000000E+00,8.696925E+03,0.000000E+00,4.487186E-01,0.000000E+00,5.523053E+03,0.000000E+00,2.849587E-01,0.000000E+00
04:00:00,3.490140E+03,0.000000E+00,1.801407E-01,0.000000E+00,8.914225E+03,0.000000E+00,4.599302E-01,0.000000E+00,5.526269E+03,0.000000E+00,2.851246E-01,0.000000E+00,8.696989E+03,0.000000E+00,4.487219E-01,0.000000E+00,5.523091E+03,0.000000E+00,2.849607E-01,0.000000E+00
04:10:00,3.490204E+03,0.000000E+00,1.801440E-01,0.000000E+00,8.914288E+03,0.000000E+00,4.599334E-01,0.000000E+00,5.526307E+03,0.000000E+00,2.851266E-01,0.000000E+00,8.697051E+03,0.000000E+00,4.487251E-01,0.000000E+00,5.523129E+03,0.000000E+00,2.849626E-01,0.000000E+00
04:20:00,3.490268E+03,0.000000E+00,1.801473E-01,0.000000E+00,8.914350E+03,0.000000E+00,4.599366E-01,0.000000E+00,5.526345E+03,0.000000E+00,2.851285E-01,0.000000E+00,8.697113E+03,0.000000E+00,4.487284E-01,0.000000E+00,5.523167E+03,0.000000E+00,2.849646E-01,0.000000E+00
