Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.355607E-01,8.375753E+03,9.465872E-02,0.000000E+00,0.000000E+00,9.465872E-02,1.491555E+03,9.465872E-02,1.095671E+03,2.714120E+03,5.840612E-01,1.386730E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.130247E+03,7.172897E-02,8.302603E+02,2.056662E+03,3.619016E-01,8.513114E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.707366E+02,4.256703E-02,4.927119E+02,1.220511E+03,5.700004E-01,1.360660E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.130247E+03,7.172897E-02,8.302603E+02,2.056662E+03,3.616954E-01,8.509293E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.707366E+02,4.256703E-02,4.927119E+02,1.220511E+03
00:20:00,2.354898E-01,8.374440E+03,9.465872E-02,0.000000E+00,0.000000E+00,9.465872E-02,1.501733E+03,9.465872E-02,1.085494E+03,2.703611E+03,5.840076E-01,1.386631E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.137959E+03,7.172897E-02,8.225481E+02,2.048699E+03,3.618696E-01,8.512523E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.753134E+02,4.256703E-02,4.881351E+02,1.215785E+03,5.699467E-01,1.360560E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.137959E+03,7.172897E-02,8.225481E+02,2.048699E+03,3.616635E-01,8.508701E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.753134E+02,4.256703E-02,4.881351E+02,1.215785E+03
00:30:00,2.354193E-01,8.373132E+03,9.465872E-02,0.000000E+00,0.000000E+00,9.465872E-02,1.511911E+03,9.465872E-02,1.075316E+03,2.693102E+03,5.839541E-01,1.386532E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.145671E+03,7.172897E-02,8.148358E+02,2.040735E+03,3.618378E-01,8.511932E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.798902E+02,4.256703E-02,4.835583E+02,1.211059E+03,5.698932E-01,1.360461E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.145671E+03,7.172897E-02,8.148358E+02,2.040735E+03,3.616317E-01,8.508111E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.798902E+02,4.256703E-02,4.835583E+02,1.211059E+03
00:40:00,2.353490E-01,8.371829E+03,9.465872E-02,0.000000E+00,0.000000E+00,9.465872E-02,1.522088E+03,9.465872E-02,1.065138E+03,2.682591E+03,5.839009E-01,1.386433E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.153384E+03,7.172897E-02,8.071235E+02,2.032771E+03,3.618061E-01,8.511344E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.844670E+02,4.256703E-02,4.789815E+02,1.206333E+03,5.698399E-01,1.360362E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.153384E+03,7.172897E-02,8.071235E+02,2.032771E+03,3.616000E-01,8.507523E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.844670E+02,4.256703E-02,4.789815E+02,1.206333E+03
00:50:00,2.352790E-01,8.370531E+03,9.465872E-02,0.000000E+00,0.000000E+00,9.465872E-02,1.532266E+03,9.465872E-02,1.054961E+03,2.672082E+03,5.838478E-01,1.386335E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.161096E+03,7.172897E-02,7.994112E+02,2.024807E+03,3.617745E-01,8.510758E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.890438E+02,4.256703E-02,4.744047E+02,1.201607E+03,5.697868E-01,1.360264E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.161096E+03,7.172897E-02,7.994112E+02,2.024807E+03,3.615684E-01,8.506937E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.890438E+02,4.256703E-02,4.744047E+02,1.201607E+03
01:00:00,2.352092E-01,8.369238E+03,9.465872E-02,0.000000E+00,0.000000E+00,9.465872E-02,1.542444E+03,9.465872E-02,1.044783E+03,2.661573E+03,5.837949E-01,1.386237E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.168808E+03,7.172897E-02,7.916989E+02,2.016844E+03,3.617430E-01,8.510174E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.936206E+02,4.256703E-02,4.698279E+02,1.196881E+03,5.697338E-01,1.360165E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.168808E+03,7.172897E-02,7.916989E+02,2.016844E+03,3.615369E-01,8.506353E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.936206E+02,4.256703E-02,4.698279E+02,1.196881E+03
01:10:00,2.352135E-01,8.369318E+03,9.465872E-02,0.000000E+00,0.000000E+00,9.465872E-02,1.549229E+03,9.465872E-02,1.037998E+03,2.654567E+03,5.837995E-01,1.386245E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.173950E+03,7.172897E-02,7.865574E+02,2.011535E+03,3.617458E-01,8.510227E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.966718E+02,4.256703E-02,4.667767E+02,1.193731E+03,5.697385E-01,1.360174E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.173950E+03,7.172897E-02,7.865574E+02,2.011535E+03,3.615397E-01,8.506406E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.966718E+02,4.256703E-02,4.667767E+02,1.193731E+03
01:20:00,2.352178E-01,8.369398E+03,9.465872E-02,0.000000E+00,0.000000E+00,9.465872E-02,1.556014E+03,9.465872E-02,1.031213E+03,2.647560E+03,5.838041E-01,1.386254E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.179091E+03,7.172897E-02,7.814158E+02,2.006226E+03,3.617486E-01,8.510279E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.997230E+02,4.256703E-02,4.637255E+02,1.190580E+03,5.697431E-01,1.360183E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.179091E+03,7.172897E-02,7.814158E+02,2.006226E+03,3.615425E-01,8.506458E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,6.997230E+02,4.256703E-02,4.637255E+02,1.190580E+03
01:30:00,2.352221E-01,8.369477E+03,9.465872E-02,0.000000E+00,0.000000E+00,9.465872E-02,1.562799E+03,9.465872E-02,1.024428E+03,2.640554E+03,5.838087E-01,1.386262E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.184233E+03,7.172897E-02,7.762743E+02,2.000916E+03,3.617514E-01,8.510331E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,7.027742E+02,4.256703E-02,4.606743E+02,1.187429E+03,5.697477E-01,1.360191E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.184233E+03,7.172897E-02,7.762743E+02,2.000916E+03,3.615453E-01,8.506509E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,7.027742E+02,4.256703E-02,4.606743E+02,1.187429E+03
01:40:00,2.352264E-01,8.369556E+03,9.465872E-02,0.000000E+00,0.000000E+00,9.465872E-02,1.569584E+03,9.465872E-02,1.017642E+03,2.633547E+03,5.838132E-01,1.386271E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.189374E+03,7.172897E-02,7.711328E+02,1.995607E+03,3.617542E-01,8.510382E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,7.058254E+02,4.256703E-02,4.576231E+02,1.184278E+03,5.697522E-01,1.360199E+04,7.172897E-02,0.000000E+00,0.000000E+00,7.172897E-02,1.189374E+03,7.172897E-02,7.711328E+02,1.995607E+03,3.615481E-01,8.506561E+03,4.256703E-02,0.000000E+00,0.000000E+00,4.256703E-02,7.058254E+02,4.256703E-02,4.576231E+02,1.184278E+03
